"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Кликабельность ссылок Политики конфиденциальности и Пользовательского соглашения","20132","Проверка кликабельности ссылок","","Tue Sep 24 00:19:06 NOVT 2024","passed","Tue Sep 24 00:19:27 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AboutUsTest","ru.iteco.fmhandroid.ui.test.AboutUsTest","shouldCheckLinksAreClickable"
"При вводе невалидных значений логина и пароля всплывает сообщение о неверных данных","7496","В полях Логин и Пароль добавить спецсимволы","","Sat Sep 21 20:14:14 NOVT 2024","passed","Sat Sep 21 20:14:22 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithSpecialCharacters"
"При незаполненном поле Описание новсть не создается, всплывает предупреждение о необходимости заоплнить поле","14208","Создать новость с пустым полем Описание","","Fri Sep 20 09:46:28 NOVT 2024","passed","Fri Sep 20 09:46:42 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldNotCreateNewsWithEmptyDescription"
"","9698","aboutTest","","Thu Sep 19 14:40:01 NOVT 2024","passed","Thu Sep 19 14:40:11 NOVT 2024","","ru.iteco.fmhandroid.ui.NavigationTest","ru.iteco.fmhandroid.ui.NavigationTest","aboutTest"
"","8247","newsTest","","Thu Sep 19 14:40:25 NOVT 2024","passed","Thu Sep 19 14:40:33 NOVT 2024","","ru.iteco.fmhandroid.ui.NavigationTest","ru.iteco.fmhandroid.ui.NavigationTest","newsTest"
"При попытке авторизации с пустым логином пользователь не авторизуется, всплывает сообщение о незаполненом поле","7944","Вход в личный кабинет с пустым полем Логин","","Sat Sep 21 20:13:50 NOVT 2024","passed","Sat Sep 21 20:13:58 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithEmptyLogin"
"Отображаются только те новости, которые были созданы в указанный промежуток времени","14176","Фильтр по дате","","Fri Sep 20 09:48:31 NOVT 2024","broken","Fri Sep 20 09:48:45 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldFilterByDate"
"При нажатии на кнопку сортировки меняется порядок отображения новостей по дате создания новости","12989","Проверка кнопки сортировки новостей","","Fri Sep 20 09:50:42 NOVT 2024","broken","Fri Sep 20 09:50:55 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldSortNews"
"При заполнении текстовых полей валидными данным на кириллице создается новость","17973","Создать новость на кирилице","","Fri Sep 20 09:45:55 NOVT 2024","broken","Fri Sep 20 09:46:13 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCreateNewsCyr"
"","7164","quotesTest","","Thu Sep 19 14:40:18 NOVT 2024","passed","Thu Sep 19 14:40:25 NOVT 2024","","ru.iteco.fmhandroid.ui.NavigationTest","ru.iteco.fmhandroid.ui.NavigationTest","quotesTest"
"При отсуствии новостей, удовлетворяющим критериям поиска (дате создания), на экране видна предупреждающая надпись","13305","Нет новостей, соответствующих критериям","","Fri Sep 20 09:48:17 NOVT 2024","passed","Fri Sep 20 09:48:30 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldShowNothingToShowScreen"
"","6570","menuTest","","Thu Sep 19 14:40:11 NOVT 2024","passed","Thu Sep 19 14:40:17 NOVT 2024","","ru.iteco.fmhandroid.ui.NavigationTest","ru.iteco.fmhandroid.ui.NavigationTest","menuTest"
"При нажатии на странице основного экрана кнопки Все новости пользователь переходит на вкладку Новости и может вернуться на оснвоной экран","13825","Кликабельность кнопки Все новости","","Sat Sep 21 19:12:53 NOVT 2024","passed","Sat Sep 21 19:13:07 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckAllNewsBtn"
